City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Sampit,ID,2021-04-10 03:03:12,-2.5333,112.95,305.92,56,85,0.34
115,Hambantota,LK,2021-04-10 02:58:31,6.1241,81.1185,300.15,94,3,1.54
116,Coahuayana,MX,2021-04-10 02:57:54,18.7333,-103.6833,294.2,81,0,0.93
117,Puerto Colombia,CO,2021-04-10 03:03:13,10.9878,-74.9547,299.15,89,40,2.06
118,Mbandaka,CD,2021-04-10 02:58:06,0.0487,18.2603,294.69,94,93,1.7
119,Sorong,ID,2021-04-10 03:03:13,-0.8833,131.25,301.23,78,99,3.35
120,Hopkinsville,US,2021-04-10 03:00:11,36.8656,-87.4886,297.15,68,75,6.17
121,Waling,NP,2021-04-10 03:03:04,27.9833,83.7667,302.63,9,0,0.4
122,Mar Del Plata,AR,2021-04-10 02:56:58,-38.0023,-57.5575,290.93,82,75,3.09
123,Rundu,NA,2021-04-10 03:03:14,-17.9333,19.7667,287.6,46,0,2.75
124,Rosenberg,SK,2021-04-10 03:03:14,49.0748,19.3075,274.82,86,0,0.51
125,Opuwo,NA,2021-04-10 02:58:06,-18.0607,13.84,292.02,43,1,3.84
126,Lata,PT,2021-04-10 02:58:58,40.1629,-8.3327,287.04,95,26,0.89
127,Henties Bay,NA,2021-04-10 02:58:33,-22.116,14.2845,298.07,44,0,2.87
128,Mwinilunga,ZM,2021-04-10 03:03:14,-11.7358,24.4293,288.56,75,100,1.85
129,Hualmay,PE,2021-04-10 03:01:09,-11.0964,-77.6139,293.49,89,100,2.97
130,Avarua,CK,2021-04-10 02:57:41,-21.2078,-159.775,301.15,78,58,2.06
131,Marang,MY,2021-04-10 03:03:15,5.2056,103.2059,302.15,79,20,1.54
132,Northam,GB,2021-04-10 02:58:34,51.0333,-4.2167,278.71,76,99,3.13
133,Tefe,BR,2021-04-10 03:03:15,-3.3542,-64.7114,297.62,84,100,0.92
134,Solnechnyy,RU,2021-04-10 03:03:15,50.7214,136.6319,280.38,54,8,3.12
135,Evensk,RU,2021-04-10 02:58:25,61.95,159.2333,268.19,66,0,3.77
136,Yulara,AU,2021-04-10 02:57:53,-25.2406,130.9889,299.15,36,87,5.66
137,Kyabe,TD,2021-04-10 03:03:16,9.4515,18.9449,302.44,37,82,1.59
138,Kloulklubed,PW,2021-04-10 02:57:16,7.0419,134.2556,301.15,83,75,3.09
139,Khatanga,RU,2021-04-10 02:58:06,71.9667,102.5,260.62,73,23,4.1
140,Ribeira Grande,PT,2021-04-10 02:58:28,38.5167,-28.7,288.4,86,100,8.04
141,Geraldton,AU,2021-04-10 02:58:25,-28.7667,114.6,298.15,61,90,10.29
142,Michigan City,US,2021-04-10 03:03:16,41.7075,-86.895,285.37,87,1,2.26
143,Belmonte,BR,2021-04-10 02:59:30,-15.8631,-38.8828,295.15,88,75,2.06
144,Broome,US,2021-04-10 02:58:26,42.2506,-75.833,285.93,76,90,3.09
145,Luderitz,NA,2021-04-10 03:03:17,-26.6481,15.1594,296.09,47,0,2.27
146,Balkanabat,TM,2021-04-10 03:00:47,39.5108,54.3671,297.41,21,10,10.33
147,Port Blair,IN,2021-04-10 02:59:00,11.6667,92.75,302.63,66,50,2.11
148,Ludvika,SE,2021-04-10 03:03:17,60.1496,15.1878,272.15,93,75,5.14
149,Richards Bay,ZA,2021-04-10 02:58:59,-28.783,32.0377,291.99,93,3,1.38
150,San Jeronimo,PE,2021-04-10 03:03:18,-11.9472,-75.2829,282.38,88,100,0.79
151,Bambous Virieux,MU,2021-04-10 02:58:04,-20.3428,57.7575,298.99,77,100,5.81
152,Katobu,ID,2021-04-10 02:58:24,-4.9408,122.5276,301.24,74,99,1.55
153,Nanortalik,GL,2021-04-10 02:58:18,60.1432,-45.2371,275.37,92,100,2.46
154,Nouadhibou,MR,2021-04-10 03:03:18,20.931,-17.0347,291.15,82,0,7.72
155,Tulagi,SB,2021-04-10 03:03:19,-9.0996,160.1476,301.12,77,98,8.02
156,Fortuna,US,2021-04-10 02:58:07,40.5982,-124.1573,282.04,76,90,3.09
157,Sao Filipe,CV,2021-04-10 02:58:43,14.8961,-24.4956,296.6,62,22,6.15
158,Nyrob,RU,2021-04-10 03:03:19,60.733,56.7202,273.09,98,96,1.37
159,Husavik,IS,2021-04-10 02:58:36,66.0449,-17.3389,263.15,85,0,2.57
160,Kushmurun,KZ,2021-04-10 03:01:48,52.4503,64.6311,274.51,87,17,2.33
161,Kainan,JP,2021-04-10 03:03:19,34.15,135.2,287.59,47,20,3.09
162,Tautira,PF,2021-04-10 02:57:18,-17.7333,-149.15,303.15,70,40,4.63
163,Namibe,AO,2021-04-10 03:03:20,-15.1961,12.1522,298.62,84,68,1.84
