City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Touros,BR,-5.1989,-35.4608,78.8,89,0,4.61,clear sky
149,Pali,IN,25.7667,73.3333,77.02,30,2,4.97,clear sky
150,Labuhan,ID,-6.8844,112.2051,78.48,83,84,7.56,broken clouds
151,Airai,TL,-8.9266,125.4092,66.34,51,39,3.15,scattered clouds
152,Northam,GB,51.0333,-4.2167,42.01,82,43,3.0,scattered clouds
153,Norman Wells,CA,65.282,-126.8329,44.6,45,75,20.71,broken clouds
154,Bengkulu,ID,-3.8004,102.2655,75.09,88,82,4.14,broken clouds
155,Puqi,CN,29.7167,113.8833,59.16,96,100,2.55,overcast clouds
156,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,20,2.3,few clouds
157,Lavrentiya,RU,65.5833,-171.0,28.96,93,100,2.1,light snow
158,Marrakesh,MA,31.6315,-8.0083,64.4,68,40,8.05,scattered clouds
159,Bagepalli,IN,13.7847,77.7931,66.2,100,75,2.3,broken clouds
160,Praia,CV,14.9215,-23.5087,73.4,60,0,20.71,clear sky
161,Portland,US,45.5234,-122.6762,70.0,18,1,8.05,clear sky
162,Wonthaggi,AU,-38.6044,145.5913,61.0,71,87,19.13,overcast clouds
163,Kurunegala,LK,7.4863,80.3623,77.0,88,20,3.44,few clouds
164,Helong,CN,42.5397,128.9972,49.57,23,7,7.65,clear sky
165,Palmer,US,42.1584,-72.3287,60.8,55,75,11.5,broken clouds
166,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,11.5,light rain
167,Ajdabiya,LY,30.7554,20.2263,61.84,74,70,12.19,broken clouds
168,Grandview,US,38.8858,-94.533,57.2,35,1,12.66,clear sky
169,Chicama,PE,-7.8447,-79.1469,68.0,83,40,13.8,scattered clouds
170,Matay,EG,28.419,30.7792,64.47,38,0,10.02,clear sky
171,Nabire,ID,-3.3667,135.4833,79.45,76,100,3.09,overcast clouds
172,Tiarei,PF,-17.5333,-149.3333,86.0,74,90,8.05,overcast clouds
173,San Juan,AR,-31.5375,-68.5364,72.59,36,0,9.35,clear sky
174,Kahului,US,20.8947,-156.47,80.6,50,40,18.41,scattered clouds
175,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.33,74,21,10.51,few clouds
176,Balkhash,KZ,46.844,74.9804,43.83,54,0,18.95,clear sky
177,Abbeville,FR,50.1,1.8333,36.0,82,7,6.04,clear sky
178,Meulaboh,ID,4.1363,96.1285,76.71,87,77,3.2,broken clouds
179,Hornepayne,CA,49.2138,-84.7705,34.72,95,100,9.89,overcast clouds
180,Kargasok,RU,59.0556,80.8572,35.11,99,100,6.93,overcast clouds
181,Samarai,PG,-10.6167,150.6667,80.04,81,100,10.63,overcast clouds
182,Haapiti,PF,-17.5667,-149.8667,86.0,74,90,8.05,overcast clouds
183,Tibu,CO,8.639,-72.7358,77.68,90,100,2.75,overcast clouds
184,Itarema,BR,-2.9248,-39.9167,79.54,82,38,11.27,scattered clouds
185,Constitucion,CL,-35.3333,-72.4167,56.07,92,25,10.54,scattered clouds
186,Kupang,ID,-10.1667,123.5833,79.48,76,34,4.83,scattered clouds
187,Adeje,ES,28.1227,-16.726,68.0,83,20,1.14,few clouds
188,Atuona,PF,-9.8,-139.0333,80.94,73,58,19.51,broken clouds
189,Roald,NO,62.5833,6.1333,39.2,75,90,9.22,overcast clouds
190,Port Augusta,AU,-32.5,137.7667,60.8,59,97,4.61,overcast clouds
191,Chapais,CA,49.7834,-74.8492,59.0,26,1,6.91,clear sky
192,Paamiut,GL,61.994,-49.6678,25.43,80,85,26.69,overcast clouds
193,Imeni Poliny Osipenko,RU,52.4201,136.4853,24.33,74,91,5.7,overcast clouds
194,Muyezerskiy,RU,63.9333,31.65,23.18,96,7,3.11,clear sky
195,Hamilton,US,39.1834,-84.5333,60.8,51,20,5.75,few clouds
196,Yumen,CN,40.2833,97.2,36.34,17,23,11.36,few clouds
197,Si Satchanalai,TH,17.5169,99.7598,73.4,88,40,2.3,scattered clouds
198,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,0,4.61,clear sky
199,Moanda,GA,-1.5575,13.2178,69.06,98,82,1.68,light rain
200,Charagua,BO,-19.8,-63.2167,78.26,47,54,10.16,broken clouds
201,Kavieng,PG,-2.5744,150.7967,84.0,66,43,6.11,scattered clouds
202,Kamaishi,JP,39.2667,141.8833,41.0,60,75,4.61,broken clouds
203,Nelson Bay,AU,-32.7167,152.15,73.0,49,0,6.91,clear sky
204,Kavaratti,IN,10.5669,72.642,83.1,69,5,2.37,clear sky
205,Lebedinyy,RU,58.5167,125.5167,22.68,93,100,8.37,snow
206,Port Moresby,PG,-9.4431,147.1797,82.4,69,40,9.22,haze
207,Usuki,JP,33.1081,131.7878,55.4,54,40,10.36,scattered clouds
208,Barcelona,ES,41.3888,2.159,54.0,76,0,4.61,clear sky
209,Narsaq,GL,60.9167,-46.05,33.8,75,20,4.61,few clouds
210,Rio Bravo,MX,25.9833,-98.1,93.2,46,40,11.5,scattered clouds
211,Cidreira,BR,-30.1811,-50.2056,71.64,68,38,18.32,scattered clouds
212,Baft,IR,29.234,56.6057,51.15,60,21,5.68,few clouds
213,Eureka,US,40.8021,-124.1637,59.0,62,1,17.27,clear sky
214,Hambantota,LK,6.1241,81.1185,79.11,81,100,5.59,overcast clouds
215,Richards Bay,ZA,-28.783,32.0377,74.71,88,55,9.1,broken clouds
216,Malanville,BJ,11.8685,3.3899,86.92,20,99,3.09,overcast clouds
217,Savannakhet,LA,16.566,104.751,80.89,68,59,4.41,broken clouds
218,Amapa,BR,1.0,-52.0,73.71,98,100,2.39,overcast clouds
219,Tabuk,PH,17.4189,121.4443,78.58,77,78,1.86,broken clouds
220,Pudozh,RU,61.8099,36.5345,28.02,95,100,2.98,overcast clouds
221,Matara,LK,5.9485,80.5353,77.14,86,94,0.89,overcast clouds
222,Chokurdakh,RU,70.6333,147.9167,4.86,87,65,5.57,broken clouds
223,Victoria,HK,22.2855,114.1577,73.0,92,97,21.59,overcast clouds
224,Tiksi,RU,71.6872,128.8694,10.09,93,92,0.89,overcast clouds
225,Warmbad,NA,-28.45,18.7333,78.42,22,0,10.42,clear sky
226,Hamburg,DE,53.55,10.0,35.01,100,0,1.14,clear sky
227,Kodiak,US,57.79,-152.4072,44.6,65,90,9.22,light rain
228,Kavadarci,MK,41.4331,22.0119,42.8,65,40,6.91,scattered clouds
229,Inirida,CO,3.8653,-67.9239,72.37,99,100,2.04,overcast clouds
230,Simao,CN,22.7886,100.9748,64.29,51,73,0.87,broken clouds
231,Bokhan,RU,53.153,103.7714,31.3,80,99,6.89,light snow
232,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,8.05,scattered clouds
233,Ilulissat,GL,69.2167,-51.1,15.8,67,75,17.27,snow
234,Alofi,NU,-19.0595,-169.9187,80.6,69,40,5.75,scattered clouds
235,Muros,ES,42.7762,-9.0603,55.0,69,34,3.0,scattered clouds
236,Kudahuvadhoo,MV,2.6708,72.8944,82.44,65,63,9.33,broken clouds
237,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,11.5,light rain
238,Fairbanks,US,64.8378,-147.7164,48.2,40,90,9.22,haze
239,Tynda,RU,55.1667,124.7167,24.35,76,74,3.02,broken clouds
240,Garmsar,IR,35.2182,52.3409,67.42,32,97,2.82,overcast clouds
241,Coquimbo,CL,-29.9533,-71.3436,59.0,88,90,8.05,overcast clouds
242,Kenai,US,60.5544,-151.2583,42.8,75,75,8.05,light rain
243,Bilibino,RU,68.0546,166.4372,10.27,66,22,3.24,few clouds
244,Tocopilla,CL,-22.092,-70.1979,67.35,71,25,6.8,scattered clouds
245,Oranjemund,NA,-28.55,16.4333,73.56,39,0,5.32,clear sky
246,Taltal,CL,-25.4,-70.4833,64.54,78,22,3.4,few clouds
247,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.42,59,94,1.28,overcast clouds
248,Kalabo,ZM,-14.97,22.6814,64.76,83,89,5.93,light rain
249,Santiago De Cao,PE,-7.9589,-79.2392,68.0,83,40,13.8,scattered clouds
250,Saint-Augustin,CA,51.226,-58.6502,37.2,62,0,3.94,clear sky
251,Kibala,TD,9.1104,18.3463,86.0,51,0,2.53,clear sky
252,Pisco,PE,-13.7,-76.2167,68.0,77,0,13.8,clear sky
253,Bambanglipuro,ID,-7.95,110.2833,77.61,84,82,3.15,broken clouds
254,Rincon,US,32.296,-81.2354,75.2,53,75,16.11,broken clouds
255,Port-Gentil,GA,-0.7193,8.7815,80.6,89,40,4.61,scattered clouds
256,Hobyo,SO,5.3505,48.5268,81.36,67,96,11.14,overcast clouds
257,Vila Velha,BR,-20.3297,-40.2925,75.2,78,0,12.66,clear sky
258,Japura,ID,-0.3167,102.35,74.5,97,99,0.56,overcast clouds
259,Edmundston,CA,47.3737,-68.3251,55.4,35,0,2.3,clear sky
260,Te Anau,NZ,-45.4167,167.7167,52.18,88,95,5.06,overcast clouds
261,Hovd,MN,48.0056,91.6419,35.04,32,100,1.92,overcast clouds
262,Mayumba,GA,-3.432,10.6554,78.64,88,97,9.53,overcast clouds
263,Rjukan,NO,59.8789,8.5941,37.99,68,33,1.01,scattered clouds
264,Whyalla,AU,-33.0333,137.5833,60.8,59,49,4.61,scattered clouds
265,Rangkasbitung,ID,-6.3591,106.2494,82.0,88,96,1.14,mist
266,Sechura,PE,-5.5569,-80.8222,74.79,64,86,16.22,overcast clouds
267,Balabac,PH,7.9868,117.0645,81.75,76,17,6.69,few clouds
268,Thinadhoo,MV,0.5333,72.9333,81.9,65,76,3.71,broken clouds
269,Luanda,AO,-8.8368,13.2343,80.6,89,20,3.44,light rain
270,Swellendam,ZA,-34.0226,20.4417,51.8,93,5,3.44,clear sky
271,Gobabis,NA,-22.45,18.9667,60.84,37,0,8.81,clear sky
272,Teahupoo,PF,-17.8333,-149.2667,86.0,74,90,8.05,overcast clouds
273,Umm Lajj,SA,25.0213,37.2685,73.63,48,0,8.9,clear sky
274,Castro,BR,-24.7911,-50.0119,56.7,86,99,7.85,overcast clouds
275,Barkhan,PK,29.8977,69.5256,68.54,18,99,3.0,overcast clouds
276,Tucuma,BR,-0.1833,-50.05,76.84,93,100,5.17,overcast clouds
277,Provideniya,RU,64.3833,-173.3,19.4,68,0,4.47,clear sky
278,Yerbogachen,RU,61.2767,108.0108,21.81,81,61,4.9,broken clouds
279,Ayorou,NE,14.7308,0.9174,87.82,7,88,6.15,overcast clouds
280,Severo-Kurilsk,RU,50.6789,156.125,39.36,92,100,22.15,light rain
281,Baruun-Urt,MN,46.6806,113.2792,30.88,73,100,29.62,overcast clouds
282,Staryy Nadym,RU,65.6118,72.6842,36.82,99,100,15.35,overcast clouds
283,Simpang,ID,-1.2667,104.0833,76.33,89,90,1.05,light rain
284,Kerema,PG,-7.9631,145.7785,82.35,65,89,4.68,overcast clouds
285,Necochea,AR,-38.5473,-58.7368,62.01,79,0,5.01,clear sky
286,Ust-Kut,RU,56.7938,105.7672,27.66,92,100,1.7,overcast clouds
287,Namatanai,PG,-3.6667,152.4333,84.02,68,72,4.09,broken clouds
288,Srednekolymsk,RU,67.45,153.6833,12.9,71,18,5.35,few clouds
289,Vera Cruz,BR,-12.6333,-41.0333,71.6,78,0,3.44,clear sky
290,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,90,6.91,light rain
291,Coihaique,CL,-45.5752,-72.0662,48.2,76,75,12.66,broken clouds
292,Laurel,US,39.0993,-76.8483,57.99,100,90,3.44,moderate rain
293,Midland,US,31.9974,-102.0779,55.4,82,90,11.5,overcast clouds
294,Brandon,US,27.9378,-82.2859,82.4,51,75,5.75,broken clouds
295,Garowe,SO,8.4054,48.4845,72.54,84,16,8.81,few clouds
296,Chany,RU,55.3121,76.7647,36.64,99,100,3.67,overcast clouds
297,Ahipara,NZ,-35.1667,173.1667,65.39,65,58,11.74,broken clouds
298,Messina,IT,38.1933,15.5497,57.0,62,20,10.36,few clouds
299,Dapaong,TG,10.8639,0.205,89.04,25,86,3.33,overcast clouds
